objectid,filename,title,creator,date,source,identifier,type,format,,
football-1926,http://archives.nd.edu/Football/Football-1926.pdf,Notre Dame Football Review - 1926,University of Notre Dame Archives,1926,http://archives.nd.edu/Football/Football-1926.pdf,football-1926,newspaper,application/pdf,,
football-1927,http://archives.nd.edu/Football/Football-1927.pdf,Notre Dame Football Review - 1927,University of Notre Dame Archives,1927,http://archives.nd.edu/Football/Football-1927.pdf,football-1927,newspaper,application/pdf,,
football-1928,http://archives.nd.edu/Football/Football-1928.pdf,Notre Dame Football Review - 1928,University of Notre Dame Archives,1928,http://archives.nd.edu/Football/Football-1928.pdf,football-1928,newspaper,application/pdf,,
football-1929,http://archives.nd.edu/Football/Football-1929.pdf,Notre Dame Football Review - 1929,University of Notre Dame Archives,1929,http://archives.nd.edu/Football/Football-1929.pdf,football-1929,newspaper,application/pdf,,
football-1930,http://archives.nd.edu/Football/Football-1930.pdf,Notre Dame Football Review - 1930,University of Notre Dame Archives,1930,http://archives.nd.edu/Football/Football-1930.pdf,football-1930,newspaper,application/pdf,,
football-1930s,http://archives.nd.edu/Football/Football-1930s.pdf,Notre Dame Scholastic Football Review - 1930,University of Notre Dame Archives,1930,http://archives.nd.edu/Football/Football-1930s.pdf,football-1930s,newspaper,application/pdf,,
football-1931,http://archives.nd.edu/Football/Football-1931.pdf,Notre Dame Football Review - 1931,University of Notre Dame Archives,1931,http://archives.nd.edu/Football/Football-1931.pdf,football-1931,newspaper,application/pdf,,
football-1932,http://archives.nd.edu/Football/Football-1932.pdf,Notre Dame Football Review - 1932,University of Notre Dame Archives,1932,http://archives.nd.edu/Football/Football-1932.pdf,football-1932,newspaper,application/pdf,,
football-1935s,http://archives.nd.edu/Football/Football-1935s.pdf,Notre Dame Scholastic Football Review - 1935,University of Notre Dame Archives,1935,http://archives.nd.edu/Football/Football-1935s.pdf,football-1935s,newspaper,application/pdf,,
football-1939s,http://archives.nd.edu/Football/Football-1939s.pdf,Notre Dame Scholastic Football Review - 1939,University of Notre Dame Archives,1939,http://archives.nd.edu/Football/Football-1939s.pdf,football-1939s,newspaper,application/pdf,,
football-1940s,http://archives.nd.edu/Football/Football-1940s.pdf,Notre Dame Scholastic Football Review - 1940,University of Notre Dame Archives,1940,http://archives.nd.edu/Football/Football-1940s.pdf,football-1940s,newspaper,application/pdf,,
football-1941,http://archives.nd.edu/Football/Football-1941.pdf,Notre Dame Football Review - 1941,University of Notre Dame Archives,1941,http://archives.nd.edu/Football/Football-1941.pdf,football-1941,newspaper,application/pdf,,
football-1942s,http://archives.nd.edu/Football/Football-1942s.pdf,Notre Dame Scholastic Football Review - 1942,University of Notre Dame Archives,1942,http://archives.nd.edu/Football/Football-1942s.pdf,football-1942s,newspaper,application/pdf,,
football-1943s,http://archives.nd.edu/Football/Football-1943s.pdf,Notre Dame Scholastic Football Review - 1943,University of Notre Dame Archives,1943,http://archives.nd.edu/Football/Football-1943s.pdf,football-1943s,newspaper,application/pdf,,
football-1944s,http://archives.nd.edu/Football/Football-1944s.pdf,Notre Dame Scholastic Football Review - 1944,University of Notre Dame Archives,1944,http://archives.nd.edu/Football/Football-1944s.pdf,football-1944s,newspaper,application/pdf,,
football-1945s,http://archives.nd.edu/Football/Football-1945s.pdf,Notre Dame Scholastic Football Review - 1945,University of Notre Dame Archives,1945,http://archives.nd.edu/Football/Football-1945s.pdf,football-1945s,newspaper,application/pdf,,
football-1946s,http://archives.nd.edu/Football/Football-1946s.pdf,Notre Dame Scholastic Football Review - 1946,University of Notre Dame Archives,1946,http://archives.nd.edu/Football/Football-1946s.pdf,football-1946s,newspaper,application/pdf,,
football-1947s,http://archives.nd.edu/Football/Football-1947s.pdf,Notre Dame Scholastic Football Review - 1947,University of Notre Dame Archives,1947,http://archives.nd.edu/Football/Football-1947s.pdf,football-1947s,newspaper,application/pdf,,
football-1948s,http://archives.nd.edu/Football/Football-1948s.pdf,Notre Dame Scholastic Football Review - 1948,University of Notre Dame Archives,1948,http://archives.nd.edu/Football/Football-1948s.pdf,football-1948s,newspaper,application/pdf,,
football-1949s,http://archives.nd.edu/Football/Football-1949s.pdf,Notre Dame Scholastic Football Review - 1949,University of Notre Dame Archives,1949,http://archives.nd.edu/Football/Football-1949s.pdf,football-1949s,newspaper,application/pdf,,
football-1950s,http://archives.nd.edu/Football/Football-1950s.pdf,Notre Dame Scholastic Football Review - 1950,University of Notre Dame Archives,1950,http://archives.nd.edu/Football/Football-1950s.pdf,football-1950s,newspaper,application/pdf,,
football-1951s,http://archives.nd.edu/Football/Football-1951s.pdf,Notre Dame Scholastic Football Review - 1951,University of Notre Dame Archives,1951,http://archives.nd.edu/Football/Football-1951s.pdf,football-1951s,newspaper,application/pdf,,
football-1952s,http://archives.nd.edu/Football/Football-1952s.pdf,Notre Dame Scholastic Football Review - 1952,University of Notre Dame Archives,1952,http://archives.nd.edu/Football/Football-1952s.pdf,football-1952s,newspaper,application/pdf,,
football-1953s,http://archives.nd.edu/Football/Football-1953s.pdf,Notre Dame Scholastic Football Review - 1953,University of Notre Dame Archives,1953,http://archives.nd.edu/Football/Football-1953s.pdf,football-1953s,newspaper,application/pdf,,
football-1954s,http://archives.nd.edu/Football/Football-1954s.pdf,Notre Dame Scholastic Football Review - 1954,University of Notre Dame Archives,1954,http://archives.nd.edu/Football/Football-1954s.pdf,football-1954s,newspaper,application/pdf,,
football-1955s,http://archives.nd.edu/Football/Football-1955s.pdf,Notre Dame Scholastic Football Review - 1955,University of Notre Dame Archives,1955,http://archives.nd.edu/Football/Football-1955s.pdf,football-1955s,newspaper,application/pdf,,
football-1956s,http://archives.nd.edu/Football/Football-1956s.pdf,Notre Dame Scholastic Football Review - 1956,University of Notre Dame Archives,1956,http://archives.nd.edu/Football/Football-1956s.pdf,football-1956s,newspaper,application/pdf,,
football-1957s,http://archives.nd.edu/Football/Football-1957s.pdf,Notre Dame Scholastic Football Review - 1957,University of Notre Dame Archives,1957,http://archives.nd.edu/Football/Football-1957s.pdf,football-1957s,newspaper,application/pdf,,
football-1958s,http://archives.nd.edu/Football/Football-1958s.pdf,Notre Dame Scholastic Football Review - 1958,University of Notre Dame Archives,1958,http://archives.nd.edu/Football/Football-1958s.pdf,football-1958s,newspaper,application/pdf,,
football-1959s,http://archives.nd.edu/Football/Football-1959s.pdf,Notre Dame Scholastic Football Review - 1959,University of Notre Dame Archives,1959,http://archives.nd.edu/Football/Football-1959s.pdf,football-1959s,newspaper,application/pdf,,
football-1960s,http://archives.nd.edu/Football/Football-1960s.pdf,Notre Dame Scholastic Football Review - 1960,University of Notre Dame Archives,1960,http://archives.nd.edu/Football/Football-1960s.pdf,football-1960s,newspaper,application/pdf,,
football-1961s,http://archives.nd.edu/Football/Football-1961s.pdf,Notre Dame Scholastic Football Review - 1961,University of Notre Dame Archives,1961,http://archives.nd.edu/Football/Football-1961s.pdf,football-1961s,newspaper,application/pdf,,
football-1962s,http://archives.nd.edu/Football/Football-1962s.pdf,Notre Dame Scholastic Football Review - 1962,University of Notre Dame Archives,1962,http://archives.nd.edu/Football/Football-1962s.pdf,football-1962s,newspaper,application/pdf,,
football-1963s,http://archives.nd.edu/Football/Football-1963s.pdf,Notre Dame Scholastic Football Review - 1963,University of Notre Dame Archives,1963,http://archives.nd.edu/Football/Football-1963s.pdf,football-1963s,newspaper,application/pdf,,
football-1964s,http://archives.nd.edu/Football/Football-1964s.pdf,Notre Dame Scholastic Football Review - 1964,University of Notre Dame Archives,1964,http://archives.nd.edu/Football/Football-1964s.pdf,football-1964s,newspaper,application/pdf,,
football-1965s,http://archives.nd.edu/Football/Football-1965s.pdf,Notre Dame Scholastic Football Review - 1965,University of Notre Dame Archives,1965,http://archives.nd.edu/Football/Football-1965s.pdf,football-1965s,newspaper,application/pdf,,
football-1966s,http://archives.nd.edu/Football/Football-1966s.pdf,Notre Dame Scholastic Football Review - 1966,University of Notre Dame Archives,1966,http://archives.nd.edu/Football/Football-1966s.pdf,football-1966s,newspaper,application/pdf,,
football-1967s,http://archives.nd.edu/Football/Football-1967s.pdf,Notre Dame Scholastic Football Review - 1967,University of Notre Dame Archives,1967,http://archives.nd.edu/Football/Football-1967s.pdf,football-1967s,newspaper,application/pdf,,
football-1968s,http://archives.nd.edu/Football/Football-1968s.pdf,Notre Dame Scholastic Football Review - 1968,University of Notre Dame Archives,1968,http://archives.nd.edu/Football/Football-1968s.pdf,football-1968s,newspaper,application/pdf,,
football-1969s,http://archives.nd.edu/Football/Football-1969s.pdf,Notre Dame Scholastic Football Review - 1969,University of Notre Dame Archives,1969,http://archives.nd.edu/Football/Football-1969s.pdf,football-1969s,newspaper,application/pdf,,
football-1970s,http://archives.nd.edu/Football/Football-1970s.pdf,Notre Dame Scholastic Football Review - 1970,University of Notre Dame Archives,1970,http://archives.nd.edu/Football/Football-1970s.pdf,football-1970s,newspaper,application/pdf,,
football-1971s,http://archives.nd.edu/Football/Football-1971s.pdf,Notre Dame Scholastic Football Review - 1971,University of Notre Dame Archives,1971,http://archives.nd.edu/Football/Football-1971s.pdf,football-1971s,newspaper,application/pdf,,
football-1972s,http://archives.nd.edu/Football/Football-1972s.pdf,Notre Dame Scholastic Football Review - 1972,University of Notre Dame Archives,1972,http://archives.nd.edu/Football/Football-1972s.pdf,football-1972s,newspaper,application/pdf,,
football-1973s,http://archives.nd.edu/Football/Football-1973s.pdf,Notre Dame Scholastic Football Review - 1973,University of Notre Dame Archives,1973,http://archives.nd.edu/Football/Football-1973s.pdf,football-1973s,newspaper,application/pdf,,
football-1974s,http://archives.nd.edu/Football/Football-1974s.pdf,Notre Dame Scholastic Football Review - 1974,University of Notre Dame Archives,1974,http://archives.nd.edu/Football/Football-1974s.pdf,football-1974s,newspaper,application/pdf,,
football-1975s,http://archives.nd.edu/Football/Football-1975s.pdf,Notre Dame Scholastic Football Review - 1975,University of Notre Dame Archives,1975,http://archives.nd.edu/Football/Football-1975s.pdf,football-1975s,newspaper,application/pdf,,
football-1976s,http://archives.nd.edu/Football/Football-1976s.pdf,Notre Dame Scholastic Football Review - 1976,University of Notre Dame Archives,1976,http://archives.nd.edu/Football/Football-1976s.pdf,football-1976s,newspaper,application/pdf,,
football-1977s,http://archives.nd.edu/Football/Football-1977s.pdf,Notre Dame Scholastic Football Review - 1977,University of Notre Dame Archives,1977,http://archives.nd.edu/Football/Football-1977s.pdf,football-1977s,newspaper,application/pdf,,
football-1978s,http://archives.nd.edu/Football/Football-1978s.pdf,Notre Dame Scholastic Football Review - 1978,University of Notre Dame Archives,1978,http://archives.nd.edu/Football/Football-1978s.pdf,football-1978s,newspaper,application/pdf,,
football-1979s,http://archives.nd.edu/Football/Football-1979s.pdf,Notre Dame Scholastic Football Review - 1979,University of Notre Dame Archives,1979,http://archives.nd.edu/Football/Football-1979s.pdf,football-1979s,newspaper,application/pdf,,
football-1980,http://archives.nd.edu/Football/Football-1980.pdf,Notre Dame Football Review - 1980,University of Notre Dame Archives,1980,http://archives.nd.edu/Football/Football-1980.pdf,football-1980,newspaper,application/pdf,,
football-1981,http://archives.nd.edu/Football/Football-1981.pdf,Notre Dame Football Review - 1981,University of Notre Dame Archives,1981,http://archives.nd.edu/Football/Football-1981.pdf,football-1981,newspaper,application/pdf,,
football-1982,http://archives.nd.edu/Football/Football-1982.pdf,Notre Dame Football Review - 1982,University of Notre Dame Archives,1982,http://archives.nd.edu/Football/Football-1982.pdf,football-1982,newspaper,application/pdf,,
football-1983,http://archives.nd.edu/Football/Football-1983.pdf,Notre Dame Football Review - 1983,University of Notre Dame Archives,1983,http://archives.nd.edu/Football/Football-1983.pdf,football-1983,newspaper,application/pdf,,
football-1983s,http://archives.nd.edu/Football/Football-1983s.pdf,Notre Dame Scholastic Football Review - 1983,University of Notre Dame Archives,1983,http://archives.nd.edu/Football/Football-1983s.pdf,football-1983s,newspaper,application/pdf,,
football-1984,http://archives.nd.edu/Football/Football-1984.pdf,Notre Dame Football Review - 1984,University of Notre Dame Archives,1984,http://archives.nd.edu/Football/Football-1984.pdf,football-1984,newspaper,application/pdf,,
football-1985,http://archives.nd.edu/Football/Football-1985.pdf,Notre Dame Football Review - 1985,University of Notre Dame Archives,1985,http://archives.nd.edu/Football/Football-1985.pdf,football-1985,newspaper,application/pdf,,
football-1985s,http://archives.nd.edu/Football/Football-1985s.pdf,Notre Dame Scholastic Football Review - 1985,University of Notre Dame Archives,1985,http://archives.nd.edu/Football/Football-1985s.pdf,football-1985s,newspaper,application/pdf,,
football-1986,http://archives.nd.edu/Football/Football-1986.pdf,Notre Dame Football Review - 1986,University of Notre Dame Archives,1986,http://archives.nd.edu/Football/Football-1986.pdf,football-1986,newspaper,application/pdf,,
football-1986s,http://archives.nd.edu/Football/Football-1986s.pdf,Notre Dame Scholastic Football Review - 1986,University of Notre Dame Archives,1986,http://archives.nd.edu/Football/Football-1986s.pdf,football-1986s,newspaper,application/pdf,,
football-1987s,http://archives.nd.edu/Football/Football-1987s.pdf,Notre Dame Scholastic Football Review - 1987,University of Notre Dame Archives,1987,http://archives.nd.edu/Football/Football-1987s.pdf,football-1987s,newspaper,application/pdf,,
